question,answer,answer_type,category,main_topic,main_topic_id,subtopic,subtopic_id,intent,difficulty,layer,answer_word_count
Mình có thể ai  yêu cầu ly hôn không?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn.

Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.

Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình, đồng thời là nạn nhân của bạo lực gia đình do chồng, vợ của họ gây ra làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.

Đáng lưu ý là, chồng không được ly hôn khi vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Nhưng nếu vợ đang có thai, sinh con hoặc nuôi con dưới 12 tháng tuổi thì người vợ có quyền được yêu cầu Tòa án cho ly hôn.

Như vậy, người có quyền yêu cầu ly hôn có thể là chồng, là vợ hoặc người thứ ba như quy định nêu trên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,244
Mình có thể ai  yêu cầu ly hôn không?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn. Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,95
Cho tôi biết ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn.

Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.

Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình, đồng thời là nạn nhân của bạo lực gia đình do chồng, vợ của họ gây ra làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.

Đáng lưu ý là, chồng không được ly hôn khi vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Nhưng nếu vợ đang có thai, sinh con hoặc nuôi con dưới 12 tháng tuổi thì người vợ có quyền được yêu cầu Tòa án cho ly hôn.

Như vậy, người có quyền yêu cầu ly hôn có thể là chồng, là vợ hoặc người thứ ba như quy định nêu trên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,244
Cho tôi biết ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn. Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,95
Mình muốn hỏi ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn.

Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.

Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình, đồng thời là nạn nhân của bạo lực gia đình do chồng, vợ của họ gây ra làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.

Đáng lưu ý là, chồng không được ly hôn khi vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Nhưng nếu vợ đang có thai, sinh con hoặc nuôi con dưới 12 tháng tuổi thì người vợ có quyền được yêu cầu Tòa án cho ly hôn.

Như vậy, người có quyền yêu cầu ly hôn có thể là chồng, là vợ hoặc người thứ ba như quy định nêu trên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,244
Mình muốn hỏi ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn. Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,95
Ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn.

Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.

Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình, đồng thời là nạn nhân của bạo lực gia đình do chồng, vợ của họ gây ra làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.

Đáng lưu ý là, chồng không được ly hôn khi vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Nhưng nếu vợ đang có thai, sinh con hoặc nuôi con dưới 12 tháng tuổi thì người vợ có quyền được yêu cầu Tòa án cho ly hôn.

Như vậy, người có quyền yêu cầu ly hôn có thể là chồng, là vợ hoặc người thứ ba như quy định nêu trên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,244
Ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn. Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,95
Xin hướng dẫn ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn.

Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.

Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình, đồng thời là nạn nhân của bạo lực gia đình do chồng, vợ của họ gây ra làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.

Đáng lưu ý là, chồng không được ly hôn khi vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Nhưng nếu vợ đang có thai, sinh con hoặc nuôi con dưới 12 tháng tuổi thì người vợ có quyền được yêu cầu Tòa án cho ly hôn.

Như vậy, người có quyền yêu cầu ly hôn có thể là chồng, là vợ hoặc người thứ ba như quy định nêu trên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,244
Xin hướng dẫn ai có quyền yêu cầu ly hôn?,"Theo quy định của Luật Hôn nhân và Gia đình, ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án. Do đó, để được ly hôn, các cặp vợ, chồng phải xác định được ai là người có quyền yêu cầu ly hôn. Đồng thời, tại Điều 51 Luật Hôn nhân và gia đình năm 2014, người có quyền yêu cầu giải quyết ly hôn gồm:

Vợ, chồng hoặc cả hai người có quyền yêu cầu Tòa án giải quyết ly hôn.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Ai có quyền yêu cầu ly hôn?,1.1,rights,medium,1,95
